TEXTFILE_FILTER,文本文件(*.txt;*.csv)|*.txt;*.csv||,Text File(*.txt;*.csv)|*.txt;*.csv||,文字檔案(*.txt;*.csv)|*.txt;*.csv||
BankTransfer_FundAccountPasswd,资金账户密码,Fund Account Password,資金帳戶密碼
BankTransfer_BankAccountPasswd,银行账户密码,Bank Account Password,銀行帳戶密碼
BankTransfer_TransferFunds,转账金额,Transfer Funds,轉賬金額
BankTransfer_CurrencySelect,币种选择,Currency Select,幣種選擇
BankTransfer_QueryBankAccount,查询银行账户,Query Bank Account,查詢銀行帳戶
BankTransfer_QueryFundAccount,查询期货账户,Query Fund Account,查詢期貨帳戶
BankTransfer_FundToBank,期货账户资金转银行,Fund To Bank,期貨帳戶資金轉銀行
BankTransfer_BankToFund,银行资金转期货账户,Bank To Fund,銀行資金轉期貨帳戶
BankTransfer_QueryTransferDetail,查询转账明细,Query Transfer Detail,查詢轉賬明細
BankTransfer_Cancel,关闭,Close,關閉
BankTransfer_BankDetail,银行交易明细:,Bank Detail:,銀行交易明細:
BankTransfer_Hide,隐藏<<,Hide<<,隱藏<<
BankTransfer_FuntureSeqNum,期货流水号,Funture SeqNum,期貨流水號
BankTransfer_BankAccount,银行账号,Bank Account,銀行帳號
BankTransfer_TradeType,交易类型,Trade Type,交易類型
BankTransfer_AmountIncurred,发生金额,Amount incurred,發生金額
BankTransfer_CurrencyID,币种名称,CurrencyID,,幣種名稱
BankTransfer_TradingHours,交易时间,Trading hours,交易時間
BankTransfer_Information,信息,Information,信息
BankTransfer_MSG1,请输入资金账户密码!,Please Input Fund Account Password!,請輸入資金帳戶密碼!
BankTransfer_MSGERROR,错误,Error,錯誤
BankTransfer_MSG2,银期操作失败,Operate fail,銀期操作失敗
BankTransfer_MSG3,查询转帐流水操作失败,Query transfer fail,查詢轉帳流水操作失敗
BankTransfer_MSG4,查询转账明细,Query Transfer Detail,查詢轉賬明細
BankTransfer_MSG5,期货资金转银行,Fund to Bank,期貨資金轉銀行
BankTransfer_MSG6,转账成功，转账金额：%s %.2f,"Transfer Success, Amount: %s %.2f",轉賬成功，轉賬金額：%s %.2f
BankTransfer_MSG7,银行资金转期货,Bank To Fund,銀行資金轉期貨
BankTransfer_MSG8,银行资金转期货失败,Bank To Fund fail,銀行資金轉期貨失敗
BankTransfer_MSG9,期货资金转银行失败,Fund to Bank fail,期貨資金轉銀行失敗
BankTransfer_BankRsp1,银行账号： %s\n银行可用金额： %s\n银行可取金额： %s\n币种： %s\n,Bank Account: %s\nBank Remain Amount of: %s\nBank Available Amount of: %s\nCurrency： %s\n,銀行帳號： %s\n銀行可用金額： %s\n銀行可取金額： %s\n幣種： %s\n
BankTransfer_BankRsp2,银行账号： %s\n银行可取金额： %s\n币种： %s\n,Bank Account: %s\nBank Available Amount of: %s\nCurrency: %s\n,銀行帳號： %s\n銀行可取金額： %s\n幣種： %s\n
BankTransfer_BankRsp1Title,银行账户详情,Bank Account Detail,銀行帳戶詳情
BankTransfer_MSG10,查银行资金失败,Query Bank Account fail,查銀行資金失敗
OVER_LIMIT_OF_GROUP,每个合约组合约数量必须少于20.,instrument limit is 20. ,每個合約組合約數量必須少於20.
CANNOT_LAST_GROUP,不能删除全部合约组,Can not delete all groups.,不能刪除全部合約組
DATA_LENGTH_ERROR,数据长度错误,Data Length is Vailid,資料長度錯誤
SENT_SERVER_SUCCESS,向服务器发送数据成功,Send Successfully,向伺服器發送資料成功
LOCAL_CURRENCY,本地货币:,Local Currency:,本地貨幣:
QUERYCOMMODITYDLG_COL1,交易所,ExchangeName,交易所
QUERYCOMMODITYDLG_COL2,合约名称,ContractName,合約名稱
QUERYCOMMODITYDLG_COL3,货币,Currency,貨幣
QUERYCOMMODITYDLG_COL4,Group,Group,Group
QUERYCOMMODITYDLG_COL5,One point,One point,One point
QUERYCOMMODITYDLG_COL6,TicksPerPoint,TicksPerPoint,TicksPerPoint
QUERYCOMMODITYDLG_COL7,TickSize,TickSize,TickSize
QUERYCOMMODITYDLG_COL8,GTStatus,GTStatus,GTStatus
QUERYCONTRACTDLG_COL1,ContractName,ContractName,ContractName
QUERYCONTRACTDLG_COL2,ContractDate,ContractDate,ContractDate
QUERYCONTRACTDLG_COL3,ExchangeName,ExchangeName,ExchangeName
QUERYCONTRACTDLG_COL4,ExpiryDate,ExpiryDate,ExpiryDate
QUERYCONTRACTDLG_COL5,LastTradeDate,LastTradeDate,LastTradeDate
QUERYCONTRACTDLG_COL6,NumberOfLegs,NumberOfLegs,NumberOfLegs
QUERYCONTRACTDLG_COL7,TicksPerPoint,TicksPerPoint,TicksPerPoint
QUERYCONTRACTDLG_COL8,TickSize,TickSize,TickSize
QUERYCONTRACTDLG_COL9,Tradable,Tradable,Tradable
QUERYCONTRACTDLG_COL10,GTStatus,GTStatus,GTStatus
QUERYCONTRACTDLG_COL11,Margin,Margin,Margin
QUERYCONTRACTDLG_COL12,ESATemplate,ESATemplate,ESATemplate
QUERYCONTRACTDLG_COL13,MarketRef,MarketRef,MarketRef
QUERYCONTRACTDLG_COL14,lnExchangeName,lnExchangeName,lnExchangeName
QUERYCONTRACTDLG_COL15,lnContractName,lnContractName,lnContractName
QUERYCONTRACTDLG_COL16,lnContractDate,lnContractDate,lnContractDate
QUERYEXCHANGEDLG_COL1,Name,Name,Name
QUERYEXCHANGEDLG_COL2,QueryEnabled,QueryEnabled,QueryEnabled
QUERYEXCHANGEDLG_COL3,AmendEnabled,AmendEnabled,AmendEnabled
QUERYEXCHANGEDLG_COL4,Strategy,Strategy,Strategy
QUERYEXCHANGEDLG_COL5,CustomDecs,CustomDecs,CustomDecs
QUERYEXCHANGEDLG_COL6,Decimals,Decimals,Decimals
QUERYEXCHANGEDLG_COL7,TicketType,TicketType,TicketType
QUERYEXCHANGEDLG_COL8,RFQA,RFQA,RFQA
QUERYEXCHANGEDLG_COL9,RFQT,RFQT,RFQT
QUERYEXCHANGEDLG_COL10,EnableBlock,EnableBlock,EnableBlock
QUERYEXCHANGEDLG_COL11,EnableBasis,EnableBasis,EnableBasis
QUERYEXCHANGEDLG_COL12,EnableAA,EnableAA,EnableAA
QUERYEXCHANGEDLG_COL13,EnableCross,EnableCross,EnableCross
QUERYEXCHANGEDLG_COL14,GTStatus,GTStatus,GTStatus
QUERYORDERTYPEDLG_COL1,OrderType,OrderType,OrderType
QUERYORDERTYPEDLG_COL2,Exchange,Exchange,Exchange
QUERYORDERTYPEDLG_COL3,OrderTypeId,OrderTypeId,OrderTypeId
QUERYORDERTYPEDLG_COL4,NumPricesReqd,NumPricesReqd,NumPricesReqd
QUERYORDERTYPEDLG_COL5,NumVolumesReqd,NumVolumesReqd,NumVolumesReqd
QUERYORDERTYPEDLG_COL6,NumDatesReqd,NumDatesReqd,NumDatesReqd
QUERYORDERTYPEDLG_COL7,AutoCreated,AutoCreated,AutoCreated
QUERYORDERTYPEDLG_COL8,TimeTriggered,TimeTriggered,TimeTriggered
QUERYORDERTYPEDLG_COL9,RealSynthetic,RealSynthetic,RealSynthetic
QUERYORDERTYPEDLG_COL10,GTCFlag,GTCFlag,GTCFlag
QUERYORDERTYPEDLG_COL11,TicketType,TicketType,TicketType
QUERYORDERTYPEDLG_COL12,PatsOrderType,PatsOrderType,PatsOrderType
QUERYORDERTYPEDLG_COL13,AmendOTCount,AmendOTCount,AmendOTCount
QUERYORDERTYPEDLG_COL14,AlgoXML,AlgoXML,AlgoXML
QUERYORDERTYPEDLG_COL15,AmendTypesArray,AmendTypesArray,AmendTypesArray
QUERYTRADERDLG_COL1,账号,TraderAccount,帳號
QUERYTRADERDLG_COL2,可交易性,Tradeable,可交易性
QUERYTRADERDLG_COL3,损耗限制,LossLimit,損耗限制
QUERYPOSITION_COL1,交易所,ExchangeName,交易所
QUERYPOSITION_COL2,合约名称,ContractName,合約名稱
QUERYPOSITION_COL3,合约时间,ContractDate,合約時間
QUERYPOSITION_COL4,账号,TraderAccount,帳號
QUERYPOSITION_COL5,盈亏,Profit,盈虧
QUERYPOSITION_COL6,买,Buy,買
QUERYPOSITION_COL7,卖,Sell,賣
QUERYPOSITION_TAB1,总持仓,Total,總持倉
QUERYPOSITION_TAB2,未平持仓,Open,未平持倉
QUERYPOSITION_TAB3,合约持仓,Contract,合約持倉
CURSORPOS,光标定位,Cursor position,游標定位
CURSORPOS_TITLE,下单成功后光标定位到,Cursor position after order success,下單成功後游標定位到
CURSORPOS_BUYSEL,买卖,Direction,買賣
CURSORPOS_DEFAULT,默认,Default,默認

CHECKSUM_PRICE_NORMAL,输入的价格不符合最小变动价位,Input price does not meet the minimum change in price,輸入的價格不符合最小變動價位
CHECKSUM_PRICE_CONDITION,输入的条件价格不符合最小变动价位,Input price does not meet the conditions of tick,輸入的條件價格不符合最小變動價位
CHECKSUM_PRICE_LOSE,输入的止损价差不符合最小变动价位,Input the stop-loss does not meet the minimum change in price spreads,輸入的止損價差不符合最小變動價位
CHECKSUM_PRICE_GAIN,输入的止盈价差不符合最小变动价位,Input only the profit does not meet the minimum change in price spreads,輸入的止盈價差不符合最小變動價位
CHECKSUM_PRICE_CLOSEREVERSE,输入的平仓加减价差不符合最小变动价位,Input the open addition and subtraction do not meet the minimum change in price spreads,輸入的平倉加減價差不符合最小變動價位

CANCELORDER_ERROE_SINGLE,当前报单状态已不适合撤单,The order's status is not just for CANCEL ,當前報單狀態已不適合撤單
CANCELORDER_ERROE_MULTI,没有可以撤单的项,Nothing for CANCEL,沒有可以撤單的項

CONDITION_EDIT_TITLE,条件单编辑,Condition Edit,條件單編輯
CONDITION_EDIT_MESSAGE,条件单修改成功，新条件将在下一次行情到达时判断。,"Conditions to modify a single success, the new conditions is the next market to reach judgment.",條件單修改成功，新條件將在下一次行情到達時判斷。
CONDITION_ERROR_MESSAGE,当前本地条件单状态不适合本次操作。,Single state of the current local conditions not suitable for this operation.,當前本地條件單狀態不適合本次操作。
CONDITION_ERROR_TITLE,错误提示,Error,错误提示
BUTTON_REQRY_CAPTION,重新查询,ReQry,重新查詢


CONDS2L_OverBoundFailMSG,合约 %s 的%s，因为服务器条件单数量达到上限，下单失败。\n您是否需要将此服务器条件单转化为本地条件单？,"Contract for %s %s, because the number of single-server conditions limit is reached, the next single failure. \ n if you need this server conditions single single local conditions?",合約%s 的%s，因為服務器條件單數量達到上限，下單失敗。 \n您是否需要將此服務器條件單轉化為本地條件單？
CONDS2L_OverBoundFailTitle,转换提示,Conversion prompted,轉換提示
CONDS2L_OverBoundFail_COND,条件单,Conditions for single,條件單
CONDS2L_OverBoundFail_SP,止盈单,Take profit order,止盈單
CONDS2L_OverBoundFail_SL,止损单,Stop-loss orders,止損單
CONDS2L_OverBoundFail_DLG_CHECKMSG,不再提示自动转化,No longer prompted to automatically translate,不再提示自動轉化
CONDS2L_OverBoundFail_DLG_TIMEMSG,剩余%u秒,Remaining %u seconds,剩餘%u秒
CONDS2L_OverBoundFail_LOG_AUTOCONV,因为服务器条件单数量达到上限，下单失败。\n自动转化为本地单,"Limit is reached because the number of single-server conditions, under a single failure. \ n is automatically converted to the local single",因為服務器條件單數量達到上限，下單失敗。 \n自動轉化為本地單
CONDS2L_OverBoundFail_LOG_MANUALCONV,因为服务器条件单数量达到上限，手动转化为本地条件单，成功。,"Because the number of single-server conditions limit is reached, manually converted to local conditions a single success.",因為服務器條件單數量達到上限，手動轉化為本地條件單，成功。
CONDS2L_OverBoundFail_LOG_MANUALCANCEL,因为服务器条件单数量达到上限，下单失败。\n手动取消转化为本地单,"Limit is reached because the number of single-server conditions, under a single failure.\ n manually canceled into local single",因為服務器條件單數量達到上限，下單失敗。 \n手動取消轉化為本地單
CONDS2L_OverBoundFail_LOG_NOTCONV,对应的止盈/止损已触发，转化失败。,"Corresponding to the take profit / stop loss is triggered, the conversion failed.",對應的止盈/止損已觸發，轉化失敗。
CONDS2L_OverBoundFail_LOG_TITLE,转换提示,Conversion prompted,轉換提示
CONDS2L_OverBoundFail_LOGCANCEL_TITLE,取消转换,Cancel the conversion,取消轉換


POSIPL_COND_ZY_LOCAL,止盈:本地条件单号,Take Profit: Local condition single number,止盈:本地條件單號
POSIPL_COND_ZS_LOCAL,止损:本地条件单号,Stop: Local condition single number,止損:本地條件單號
POSIPL_COND_ZY_SERVER,止盈:服务器条件单号,Take Profit: Server condition single number,止盈:服務器條件單號
POSIPL_COND_ZS_SERVER,止损:服务器条件单号,Stop: server conditions a single number,止損:服務器條件單號


SaveFail_Title,文件保存失败,Save the file failed,文件保存失敗
SaveFail_DataFile_MESSAGE,userdata目录.Dat文件写失败，可能会导致本地单丢失,"userdata directory. Dat file write failure, may result in the local single lost",userdata目錄.Dat文件寫失敗，可能會導致本地單丟失
SaveFail_PKSFile_MESSAGE,userdata目录.Pks文件写失败，可能会导致服务器预埋单转换无提示,"userdata directory. the Pks file write failure, may cause the server embedded single conversion silent",userdata目錄.Pks文件寫失敗，可能會導致服務器預埋單轉換無提示


SELECT_TITLE,错误,Error,錯誤
SELECT_NOTHING,操作无效：未选择或无符合操作对象。,The operation is invalid: not selected with or without the operation object.,操作無效：未選擇或無符合操作對象。


MARKETTYPE_CONFIRM_MESSAGE,如您使用市价下单，请确认该合约是否支持市价类型，否则可能导致下单失败。,"If you use the market price of a single, make sure that the contract to support the market price type, otherwise it may lead to under a single failure",如您使用市價下單，請確認該合約是否支持市價類型，否則可能導致下單失敗
MARKETTYPE_CONFIRM_MESSAGE_ENTER,如您使用市价下单，\n请确认该合约是否支持市价类型，\n否则可能导致下单失败。,"If you use the market price of a single, \nmake sure that the contract to support the market price type, \notherwise it may lead to under a single failure",如您使用市價下單，\n請確認該合約是否支持市價類型，\n否則可能導致下單失敗


QUERY_LOCALORDER_CONDITION,条件,Condition,條件
QUERY_LOCALORDER_PROFIT,盈损,Profit,盈損
QUERY_LOCALORDER_POSIPL,盈损条件单,Single surplus loss condition,盈損條件單
QUERY_LOCALORDER_PARKED,预埋,Parked,預埋
QUERY_LOCALORDER_BATCH,批量,Batch,批量
USERLOGINDLG_WEBCIFCO,网上中期,Cifco.net,網上中期
USERLOGINDLG_VERSTR_FONT,微软雅黑,微软雅黑,微软雅黑
ULD_VERSTR_STD_VIP2,VIP 二席,VIP seat2,VIP 二席
ULD_VERSTR_STD,标准版,Standard,標準版
ULD_VERSTR_SIMU,模拟版,Simulate,模擬版
ULD_VERSTR_ALLSERVER,所有服务器版,All Server,All Server
ULD_VERSTR_SIMU_CFFEX,股指仿真版,Stock Index,股指仿真版
ULD_VERSTR_SIMU_CFFEX_PLUGINS,股指仿真版,Stock Index,股指仿真版
ULD_VERSTR_SIMU_OIL,原油模拟版,Oil Simulate,原油模擬版
ULD_VERSTR_STD_EXTRA,标准增强版,Standard Extra,標準增強版
ULD_VERSTR_SIMU_EXTRA,模拟增强版,Simulate Extra,模擬增強版
ULD_VERSTR_STD_PLUGINS,标准插件版,Standard Plugins,標準插件版
ULD_VERSTR_SIMU_PLUGINS,模拟插件版,Simulate Plugins,模擬插件版
ULD_VERSTR_SIMU_CONTINUOUSTRADE,夜盘模拟版,Continuous Trade,夜盤模擬版
ULD_VERSTR_STD_ALGOTRADING_PLUGINS,实盘算法版,Standard Algotrading,實盤算法版
ULD_VERSTR_SIMU_ALGOTRADING_PLUGINS,模拟算法版,Simulate Algotrading,模擬算法版
ULD_VERSTR_STD_FORTEST,测试专用版,Standard Algotrading,測試專用版
ULD_VERSTR_SIMU_OPTION_PLUGINS,期权仿真,Dce option simulate,期權仿真
ULD_VERSTR_PATS,Pats,Pats,Pats
ULD_VERSTR_MULTI,多账号,Multi,多帳號
ULD_VERSTR_MALOCAL,多账号单机版,MultiAccount Local Server,多賬號單機版
PLUGIN_POS_QUOTE_NOT_ONE,位置在POS_QUOTE只能容许存在一个,There must be only one Plugin in POS_QUOTE,位置在POS_QUOTE只能容許存在一個
MHIP_DIGITS,1#2#3#4#5#6#7#8#9#0#-#.#<-#清零#市价#买一#卖一#最新,1#2#3#4#5#6#7#8#9#0#-#.#<-#Zero#Market# Bid #Ask#Last,1#2#3#4#5#6#7#8#9#0#-#.#<-#清零#市價#買一#賣一#最新


ID_INFODLG_CONFIG,不再显示,no longer appear,不再顯示
ID_CONFIRMDLG_CONFIG,以后不再确认,Will no longer be recognized,以後不再確認
ID_BUTTON_OK,确定,&OK,確定
ID_BUTTON_CANCEL,取消,&Cancel,取消
ID_BUTTON_YES,是(&Y),&Yes,是(&Y)
ID_BUTTON_NO,否(&N),&No,否(&N)
TITLE_DELETE_INSTRUMENTID,删除确认,Delete Confirmation,刪除確認
TITLE_CANCELORDER_CONFIRM,撤单确认,Cancel Confirmation,撤單確認


PLDETAILDLG_TITLE,盈损单号: %d 的明细,P&L Number: %d Detail,盈損單號: %d 的明細

PL_conPLPause,暂停,Pause,暫停
PL_conPLActive,下单等待,Comfirm,下單等待
PL_conPLDelete,已撤销,Delete,已撤銷
PL_conPLNoTrade,未成交,NoFill,未成交
PL_conPLPartTraded,部分成交,PartFill,部分成交
PL_conPLAllTraded,全部成交,AllFill,全部成交
PL_conPLCancelNoTrade,未成交已撤单,Cancel NoFill,未成交已撤單
PL_conPLCancelPartTraded,部分成交已撤单,Cancel PartFill,部分成交已撤單
PL_conPLFail,下单失败,Fail,下單失敗


MSG_CANCELPLORDER_TITLE,撤单警告,Cancel Warning,撤單警告
MSG_CANCELPLORDER_CONTENT,此挂单属于盈损单，撤单会使未成交部分止盈止损失效，是否确认？,"This pending order to belong to the profit-loss orders, withdrawals, will make not only the turnover part of the surplus stop failure to confirm?",此掛單屬於盈損單，撤單會使未成交部分止盈止損失效，是否確認？
MSG_CANCELALL_WARNING,注：以上会包含盈损单相关联挂单,Note: The above contains the profit-loss orders associated with pending order,注：以上會包含盈損單相關聯掛單


ID_ADDPOSIPL_STATICBOX1,止盈止损下单设置,Only the profit stop orders set,止盈止損下單設置
ID_ADDPOSIPL_POSITIONINFO_LABEL,为%s（%s　%s）设置止盈止损价。如不勾选则不使用该功能,TakeProfit stop price is set to %s (%s %s). If not checked this function is not used,為%s（%s　%s）設置止盈止損價。如不勾選則不使用該功能
ID_ADDPOSIPL_CLOSEMODE_LABEL,平仓类型,Close type,平倉類型
ID_ADDPOSIPL_PRICE_LABEL,止盈止损价以,Only the profit stop price,止盈止損價以
ID_ADDPOSIPL_PRICE_LABEL2,为基准,Basis,為基準
ID_ADDPOSIPL_CONDPRICE_LABEL,触发方式,Trigger Mode,觸發方式
ID_ADDPOSIPL_DETAIL2_LABEL,当达到止盈止损价位时，使用下方价格进行下单操作,Reach only the profit stop price below the price under a single operation,當達到止盈止損價位時，使用下方價格進行下單操作
PosiPLADD_CanCloseMsg,持仓可%s量　　　　[%d]\n止盈止损%s量　　　[%d]\n实际可止盈止损%s量[%d],Positions can be %s amount [%d] \n TakeProfit stop %s amount [%d] \n actual TakeProfit stop %s amount [%d],持倉可%s量　　　　[%d]\n止盈止損%s量　　　[%d]\n實際可止盈止損%s量[%d]
PosiPLADD_HasTriggerMsg,止盈止损价在当前会立即触发，请重新设置。,"The TakeProfit stop price in the current will be triggered immediately, please reset.",止盈止損價在當前會立即觸發，請重新設置。
PosiPLADD_HasLoseOverMsg,止损价格不能超过涨跌停价，请重新设置,"Stop price can not exceed Change the stop price, please re-set",止損價格不能超過漲跌停價，請重新設置
PosiPLADD_HasGainOverMsg,止盈价格不能超过涨跌停价，请重新设置,"The TakeProfit prices stop price, can not exceed Change Reset",止盈價格不能超過漲跌停價，請重新設置
PosiPLADD_NoQuotNoBasisPrice,相关合约无行情，无法确定止盈止损基准价,"Related to the contract market, can not be determined benchmark price earnings only stop",相關合約無行情，無法確定止盈止損基準價
PosiPLADD_PriceIsInvilad,可取价格为无效值，无法确定止盈止损基准价,"Desirable prices to an invalid value, can not be determined benchmark price earnings only stop",下單手數不能超過實際可止盈止損平倉量，請重新設置
PosiPLADD_QtyOverMsg,下单手数不能超过实际可止盈止损平仓量，请重新设置,"Single hand can not be more than the actual earnings only stop the open interest, please re-set",下單手數不能超過實際可止盈止損平倉量
ID_EDITPOSIPL_POSITIONINFO_LABEL,为%s（%s　%s）设置止盈止损价。如不勾选则不使用该功能,TakeProfit stop price is set to %s (%s %s). If not checked this function is not used,為%s（%s　%s）設置止盈止損價。如不勾選則不使用該功能
ID_EDITPOSIPL_CLOSEMODE_LABEL,平仓类型　%s,The unwinding Type %s,平倉類型　%s
ID_EDITPOSIPL_QTY_LABEL,　　数量　%d,Number of %d,　　數量　%d
ID_EDITPOSIPL_DETAIL2_LABEL,当达到止盈止损价位时，使用下方价格进行下单操作,Reach only the profit stop price below the price under a single operation,當達到止盈止損價位時，使用下方價格進行下單操作


8100000,合约,Contract ID,合約
8100001,最新价,Last Price,最新價
8100002,买价,Bid Price,買價
8100003,买量,Bid Volume,買量
8100004,卖价,Ask Price,賣價
8100005,卖量,Ask Volume,賣量
8100006,涨跌,Price Change,漲跌
8100007,成交量,Volume,成交量
8100008,今开盘,Open Price,今開盤
8100009,持仓量,Open Interest,持倉量
8100010,涨停价,Upper Limit Price,漲停價
8100011,跌停价,Lower Limit Price,跌停價
8100012,昨结算,Pre Settlement Price,昨結算
8100013,最高价,High,最高價
8100014,最低价,Low,最低價
8100015,现量,Last Volumn,現量
8100016,合约名,Contract Name,合約名
8100017,行情更新时间,Last Update Time,行情更新時間
8100018,交易所,Exchange,交易所
8100019,涨跌幅,Price Change Percent,漲跌幅
8100020,昨收盘,Pre Close,昨收盤
8100021,昨持仓量,Pre Open Interest,昨持倉量
8100022,今收盘,Close,今收盤
8100023,结算价,Settlement Price,結算價
8100024,成交额,Turnover,成交額
8100025,买二价,Bid Price2,買二價
8100026,买二量,Bid Volumn2,買二量
8100027,卖二价,Ask Price2,賣二價
8100028,卖二量,Ask Volumn2,賣二量
8100029,买三价,Bid Price3,買三價
8100030,买三量,Bid Volumn3,買三量
8100031,卖三价,Ask Price3,賣三價
8100032,卖三量,Ask Volumn3,賣三量
8100033,买四价,Bid Price4,買四價
8100034,买四量,Bid Volumn4,買四量
8100035,卖四价,Ask Price4,賣四價
8100036,卖四量,Ask Volumn4,賣四量
8100037,买五价,Bid Price5,買五價
8100038,买五量,Bid Volumn5,買五量
8100039,卖五价,Ask Price5,賣五價
8100040,卖五量,Ask Volumn5,賣五量
8100041,买六价,Bid Price6,買六價
8100042,买六量,Bid Volumn6,買六量
8100043,卖六价,Ask Price6,賣六價
8100044,卖六量,Ask Volumn6,賣六量
8100045,买七价,Bid Price7,買七價
8100046,买七量,Bid Volumn7,買七量
8100047,卖七价,Ask Price7,賣七價
8100048,卖七量,Ask Volumn7,賣七量
8100049,买八价,Bid Price8,買八價
8100050,买八量,Bid Volumn8,買八量
8100051,卖八价,Ask Price8,賣八價
8100052,卖八量,Ask Volumn8,賣八量
8100053,买九价,Bid Price9,買九價
8100054,买九量,Bid Volumn9,買九量
8100055,卖九价,Ask Price9,賣九價
8100056,卖九量,Ask Volumn9,賣九量
8100057,买十价,Bid Price10,買十價
8100058,买十量,Bid Volumn10,買十量
8100059,卖十价,Ask Price10,賣十價
8100060,卖十量,Ask Volumn10,賣十量
8100061,货币,Currency,貨幣
8100062,最新量,Last Volume,最新量
8101001,合约,Contract ID,合約
8101002,买卖方向,Direction,買賣方向
8101003,开平,Open/Close,開平
8101004,价格,Price,價格
8101005,手数,Volumn,手數
8101006,交易账号,Account,交易帳號

8102000,合约,Contract ID,合約
8102001,买卖,Direction,買賣
8102002,开平,Open/Close,開平
8102003,成交价格,Trading Price,成交價格
8102004,成交手数,Trading Volumn,成交手數
8102005,手续费,Commission,手續費
8102006,成交时间,Trading Time,成交時間
8102007,成交类型,Trading Type,成交類型
8102008,投保,Hedge,投保
8102009,成交编号,Trading ID,成交編號
8102010,报单编号,Order SysID,報單編號
8102011,交易所,Exchange,交易所
8102013,交易账号,Account,交易帳號

8103000,合约,Contract ID,合約
8103001,买卖,Direction,買賣
8103002,开平,Open/Close,開平
8103012,成交均价,Avg Price,成交均價
8103004,成交手数,Trading Volumn,成交手數
8103005,手续费,Commission,手續費

8104000,合约,Contract ID,合約
8104001,买卖,Direction,買賣
8104002,投保,Hedge,投保
8104003,总持仓,Position,總持倉
8104004,可平量,Enable Close Volumn,可平量
8104005,现价,Last Price,現價
8104006,持仓均价,Avg Price,持倉均價
8104007,开仓均价,Open Avg Price,開倉均價
8104008,持仓盈亏,Position Profit,持倉盈虧
8104009,浮动盈亏,Float Profit,浮動盈虧
8104010,盯市总盈亏,Position Profit By Date,盯市總盈虧
8104011,占用保证金,Current Margin,佔用保證金
8104012,昨仓,Pre Position,昨倉
8104013,今仓,Today Position,今倉
8104014,多头开仓价,Buy Open Price,多頭開倉價
8104015,空头开仓价,Sell Open Price,空頭開倉價
8104016,今开仓量,Today Open Volume Sum,今開倉量
8104017,今平仓量,Today Close Volume Sum,今平倉量
8104018,总多仓,Open Buy Position Sum,總多倉
8104019,总空仓,Open Sell Position Sum,總空倉
8104020,今多仓,Today Open Buy Position Sum,今多倉
8104021,今空仓,Today Open Sell Position Sum,今空倉
8104022,总可平今量,Today May Close Position Total,總可平今量
8104023,总可平昨量,Pre May Close Position Total,總可平昨量
8104024,平今挂单量,Today Close Order Volume Sum,平今掛單量
8104025,平仓挂单量,Close Order Volume Sum,平倉掛單量
8104026,可平今量,Today May Close Position Sum,可平今量
8104027,可平昨量,Pre May Close Position Sum,可平昨量
8104028,交易所,Exchange,交易所
8104029,货币,Currency,貨幣
8104030,持仓盈亏,Position Profit,持倉盈虧
8104031,平均价,Avg Price,平均價
8104032,买入,Buy,買入
8104033,卖出,Sell,賣出
8104034,总盈亏,Total Profit,總盈虧
8104035,每手保证金,Margin Per Lot,每手保證金
8104036,资金消耗率,Burn Rate,資金消耗率
8104037,持仓占用,Open Position Exposure,持倉佔用
8104038,剩余购买力,BPRemaining,剩餘購買力
8104039,已占用购买力,BPUsed,已佔用購買力
8104040,缴付保证金,Margin Paid,繳付保證金
8104041,账号,Account,帳號
8104042,平仓盈亏,Close Profit,平倉盈虧

8105000,成交编号,Trading ID,成交編號
8105001,合约,Contract ID,合約
8105002,买卖,Direction,買賣
8105003,手数,Trading Volumn,手數
8105004,开仓价,Position Open Price,開倉價
8105005,占用保证金,Current Margin,佔用保證金
8105006,持仓类型,Position Type,持倉類型
8105007,投保,Hedge,投保
8105008,交易所,Exchange,交易所
8105009,开仓时间,Position Open Time,開倉時間
8105010,昨结算,Pre Settlement Price,昨結算
8105011,平仓量,Close Volume,平倉量
8105012,持仓盈亏,Position Profit,持倉盈虧
8105013,平仓盈亏,Close Profit,平倉盈虧
8105014,浮动盈亏,Unrealized Profit,浮動盈虧
8105015,最新价,Last Price,最新價
8105016,组合状态,Combo Status,組合狀態
8105017,组合合约代码,Combo Contract ID,組合合約代碼
8105018,账号,Account,帳號

8106000,品种代码,Product ID,品種代碼
8106001,合约,Contract ID,合約
8106002,合约名,Contract Name,合約名
8106003,交易所,Exchange,交易所
8106004,合约乘数,Multiple,合約乘數
8106005,最小价格变动单位,Tick Price,最小價格變動單位
8106006,品种类型,Contract Type,品種類型
8106007,最后日期,Expire Date,最後日期
8106008,多头保证金率,Long Margin Ratio,多頭保證金率
8106009,空头保证金率,Short Margin Ratio,空頭保證金率
8106010,开仓手续费,Open Ratio By Volume,開倉手續費
8106011,平仓手续费,Close Ratio By Volume,平倉手續費
8106012,平今手续费,Close Today Ratio By Volume,平今手續費
8106013,开仓手续费率,Open Ratio By Money,開倉手續費率
8106014,平仓手续费率,Close Ratio By Money,平倉手續費率
8106015,平今手续费率,Close Today Ratio By Money,平今手續費率
8106016,多头保证金费,Long Margin Ratio By Volume,多頭保證金費
8106017,空头保证金费,Short Margin Ratio By Money,空頭保證金費
